ID;Label
1;Brown D.
2;Chumakina M.E.
3;Corbett G.G.
4;Comrie B.
5;Khalilov M.Sh.
6;Mutalov R.O.
7;Kaye S.
8;Martynova A.
9;Moroz G.A.
10;Rochant N.
11;Verhees S.
12;Ganenkov D.S.
13;Abdulaeva I.A.
14;Kazenin K.I.
15;Kibrik A.E.
16;Lyutikova E.A.
17;Harris A.C.
18;Maisak T.A.
19;Alekseev M.E.
20;Abusov M.G.
21;Authier Gilles
22;Daragan J.V.
23;Ibragimov G.Kh.
24;Komin E.R.
25;Sosenskaja T.
26;Lander Yu.A.
27;Kodzasov S.V.
28;Isakov I.A.
29;Eulenberg A.
30;Naccarato Ch.
31;Sevortjan E.V.
32;Kalmykova S.A.
33;Ataev B.M.
34;Bekova A.I.
35;Dudarov U.B.
36;Ilieva F.M.
37;Malsagova L.D.
38;Klimov G.A.
39;Starostin S.A.
40;Khalidova R.Sh.
41;I. S.A.
42;Gadzhiev M.M.
43;Sulajbanov G.R.
44;Olovyannikova I.P.
45;Karasaev A.T.
46;Alisultanov A.S.
47;Dzhidalaev N.S.
48;Madieva G.I.
49;Magomedov M.A.
50;Magomedov M.I.
51;Saidova P.A.
52;Abdullaeva A.Z.
53;Gadzhiakhmedov N.È.
54;Kadyradžiev K.S.
55;Kerimov I.A.
56;Khangishiev D.M.
57;Gajdarov R.I.
58;Gyulmagomedov A.G.
59;Mejlanova U.A.
60;Khanmagomedov B.G.
61;Ramat A.G
62;Daniel M.A.
63;Dobrushina N.R.
64;Gagua R.
65;Karimova R.Sh.
66;Quilliam H.
67;Khalilova Z.M.
68;Sumbatova N.R.
69;Zakirova A.N.
70;Magomedova P.T.
71;Tatevosov S.G.
72;Hauk B.
73;Testelets Ya.G.
74;Haciyev A.
75;Nurmamedov J.M.
76;Molochieva Z.
77;Merdanova S.R.
78;Polinsky Maria
79;Shiraliev M.Sh.
80;Sarueva M.F.
81;Sirazhutdinova K.K.
82;Tarieva M.U.
83;Magomedov A.D.
84;Talibov B.B.
85;Samedov Dzh.S.
86;Maciev A.G.
87;Sulejmanova T.A.
88;Magomedova Z.D.
89;Samedov D.S.
90;Olmesov N.X.
91;Sichalieva S.
92;Shalbuzov K.T.
93;Topadze M.
94;Holisky D.A.